AverageTemp,CA,CM,DischargeEnable,HighTemp,HighThermistor,LowTemp,LowThermistor,MPH,NC,PackAmph,PackCurrent,PackInsVoltage,PackSOC,PackSumVoltage,RPM,Vaux
28,5.037515,32.566829,1,47,31,43,117,42.416164,31.514311,23.261641,-3.724727,117.159570,86,133.187904,931.789577,23.333369
55,7.754268,-47.577779,0,124,84,103,104,59.573710,-40.597030,27.442031,23.989545,135.978790,15,140.187090,588.901354,17.929734
30,7.783211,-0.215423,1,38,54,34,60,37.151303,1.723302,6.021825,-26.995665,114.771370,91,117.708634,1301.288061,20.870318
119,6.995573,-42.188552,1,11,55,62,93,15.104256,-10.384015,23.625030,-33.185045,142.438434,86,130.098371,720.851769,15.429866
15,10.723408,-34.903128,1,8,48,25,24,6.360517,16.441986,31.680854,-33.461961,134.935248,22,142.153450,273.328650,21.165183
85,13.099505,-40.317978,0,50,40,62,1,35.878048,56.581576,8.322464,-25.519626,144.146725,26,122.488044,70.799455,23.272706
41,0.798882,36.235770,0,112,81,3,50,53.944848,3.268257,6.210714,-48.284247,110.425354,89,117.727011,859.919682,23.961114
88,1.209663,26.752640,1,52,4,86,72,13.756308,-29.915372,27.064742,21.563541,130.533614,82,129.298700,1582.373417,22.509868
25,12.400877,42.852829,0,107,123,9,5,13.369276,-28.812587,1.097307,47.616341,143.001194,77,127.512384,1170.489454,17.553724
27,3.534785,33.206516,1,81,79,119,77,31.117092,44.150277,26.555928,46.284228,116.985070,93,119.810042,474.618458,20.305104
3,6.389553,31.955808,1,23,34,119,89,66.181114,67.504434,18.207568,-12.306616,123.189312,85,116.968453,212.496191,21.353346
